Brand,MC,NSU,NSV,GST Value,NSV-GST,Gross Sales,MRP,SP,DIS,DIS%,Month,Year,ZONE_EAST,ZONE_NORTH,ZONE_SOUTH
1138,117.90690865789054,20.0,1717.25,81.64,1635.61,1955.0,97.75,85.8625,11.887500000000003,12.16,8,3,0,0,0
2024,89.46032932894528,119.0,3236.46,153.46,3083.0,3697.0,31.06722689,27.19714286,3.870084030000001,12.46,7,2,0,0,1
1925,72.52075161874527,80.0,1283.88,61.0,1222.88,4553.06,56.91325,16.0485,40.86475,71.8,2,2,0,1,0
1659,117.90690865789054,61.0,36636.78,1744.38,34892.4,37070.0,607.704918,600.6029508,7.10196719999999,1.17,6,2,0,0,1
1925,117.90690865789054,340.0,46984.62,2236.75,44747.87,47184.0,138.7764706,138.1900588,0.5864118000000076,0.42,11,1,0,1,0
4778,98.03845512087811,7978.756,492745.1,0.0,492745.1,498483.81,62.47638228,61.75713357,0.7192487100000022,1.15,12,2,0,0,0
4778,117.90690865789054,1.0,500.0,53.57,446.43,500.0,500.0,500.0,0.0,0.0,11,2,0,0,1
11524,117.90690865789054,623.0,49496.87,2354.35,47142.520000000004,54167.0,86.94542536,79.44922953,7.496195830000005,8.62,12,2,0,1,0
1659,305.4690512519766,99.0,170847.0,8135.17,162711.83,172842.0,1745.878788,1725.727273,20.151515000000018,1.15,10,2,0,0,0
11524,85.7256842785822,438.0,4793.7,0.0,4793.7,4902.0,11.19178082,10.94452055,0.24726026999999995,2.21,5,2,0,0,1
11524,59.21538489597383,1336.0,73859.27,3507.66,70351.61,74367.0,55.66392216,55.28388473,0.38003743000000156,0.68,7,3,0,1,0
1064,201.28579049618872,538.0,500957.45,0.0,500957.45,506529.0,941.5037175,931.1476766,10.356040900000039,1.1,4,3,1,0,0
1138,66.47812607916352,139.0,9166.67,436.16,8730.51,13205.0,95.0,65.94726619,29.052733810000007,30.58,4,3,0,0,0
11524,117.90690865789054,125.0,9268.09,440.67,8827.42,10226.0,81.808,74.14472,7.66328,9.37,4,3,0,0,0
4778,86.48619592882541,239.26,17353.88,0.0,17353.88,17368.11,72.59094709,72.53147204,0.05947505000000319,0.08,1,2,0,0,0
11524,131.45345432894527,5.0,1875.18,89.27,1785.91,1965.0,393.0,375.036,17.964,4.57,1,1,0,0,1
11524,93.48057432894528,96.0,5908.51,281.35,5627.16,6048.0,63.0,61.54697917,1.4530208299999998,2.31,3,2,0,0,0
1138,84.06529256423939,48.0,3378.76,160.74,3218.0200000000004,3390.0,70.625,70.39083333,0.23416666999999336,0.33,2,2,0,0,1
4778,101.65604003828383,13488.128,876542.31,0.0,876542.31,881810.94,65.37682175,64.98620935,0.3906124000000091,0.6,9,2,0,0,0
405,98.15702609523561,464.0,215506.0,10259.26,205246.74,216057.0,465.6400862,464.4525862,1.1875,0.26,2,2,0,0,0
11524,117.90690865789054,26.0,932.0,44.28,887.72,1012.0,38.92307692,35.84615385,3.0769230699999994,7.91,9,3,0,0,0
4778,82.09494035128344,1.496,137.63,0.0,137.63,137.63,91.9986631,91.9986631,0.0,0.0,4,2,0,0,1
4778,66.90429599822156,4.75,603.27,0.0,603.27,603.27,127.0042105,127.0042105,0.0,0.0,1,2,0,1,0
4778,117.90690865789054,3.038,91.14,0.0,91.14,91.14,30.0,30.0,0.0,0.0,7,2,0,0,1
4778,382.90269324388873,0.5,20.0,0.0,20.0,20.0,40.0,40.0,0.0,0.0,8,3,0,0,0
4778,647.9245106669734,101.995,5303.74,0.0,5303.74,5303.74,52.0,52.0,0.0,0.0,10,1,0,0,0
